#use_strict_skill_naming = False
#stats = {"job_class":"NIN","det_stat":2527,"crit_stat":3605,"dh_stat":1961,"tenacity":420,"speed_stat":420,"version":"7.3","level":100,"wd":158,"main_stat":6818}
time,skill_name,job_class,skill_conditional,targets
-6.5,Ten,,,
-5.9994994994995,Chi,,,
-5.498998998998999,Jin,,,
-0.9000000000000004,Suiton,,,"Boss0"
-0.28000000000000114,Kassatsu,,,
0.6005005005005017,Spinning Edge,,,"Boss0"
1.2205005005004992,Grade 4 Gemdraught,,,
2.7206206206206147,Gust Slash,,,"Boss0"
3.4906206206206107,Dokumori,,,"Boss0"
4.110620620620612,Bunshin,,,
4.840740740740731,Phantom Kamaitachi,,,"Boss0"
6.960860860860851,Armor Crush,,,"Boss0"
8.380860860860853,Kunai's Bane,,,"Boss0"
9.080980980980975,Ten,,,
9.581481481481475,Jin,,,
10.081981981981976,Hyosho Ranryu,,,"Boss0"
10.701981981981977,Dream Within a Dream,,,"Boss0"
11.58248248248248,Ten,,,
12.08298298298298,Chi,,,
12.58348348348348,Raiton,,,"Boss0"
13.203483483483481,Ten Chi Jin,,,
14.083983983983984,Fuma Shuriken,,,"Boss0"
15.084984984984985,Raiton,,,"Boss0"
16.085985985985985,Suiton,,,"Boss0"
16.70598598598599,Meisui,,,
17.586486486486486,Fleeting Raiju,,,"Boss0"
18.206486486486483,Zesho Meppo,,,"Boss0"
18.82648648648648,Tenri Jindo,,,"Boss0"
19.706606606606606,Fleeting Raiju,,,"Boss0"
20.326606606606603,Bhavacakra,,,"Boss0"
21.826726726726733,Ten,,,
22.327227227227233,Chi,,,
22.827727727727734,Raiton,,,"Boss0"
24.32822822822824,Fleeting Raiju,,,"Boss0"
26.448348348348368,Spinning Edge,,,"Boss0"
28.568468468468495,Gust Slash,,,"Boss0"
30.688588588588615,Aeolian Edge,,,"Boss0"
32.80870870870873,Spinning Edge,,,"Boss0"
34.92882882882885,Gust Slash,,,"Boss0"
37.04894894894897,Armor Crush,,,"Boss0"
39.16906906906908,Spinning Edge,,,"Boss0"
41.2891891891892,Gust Slash,,,"Boss0"
43.40930930930932,Aeolian Edge,,,"Boss0"
44.02930930930932,Bhavacakra,,,"Boss0"
45.529429429429435,Spinning Edge,,,"Boss0"
47.649549549549555,Gust Slash,,,"Boss0"
49.76966966966965,Armor Crush,,,"Boss0"
51.88978978978979,Ten,,,
52.390290290290295,Chi,,,
52.8907907907908,Jin,,,
53.39129129129131,Suiton,,,"Boss0"
54.89179179179182,Spinning Edge,,,"Boss0"
57.01191191191194,Gust Slash,,,"Boss0"
57.63191191191194,Bhavacakra,,,"Boss0"
59.13203203203206,Aeolian Edge,,,"Boss0"
59.75203203203206,Kassatsu,,,
61.25215215215219,Spinning Edge,,,"Boss0"
63.3722722722723,Gust Slash,,,"Boss0"
65.4923923923924,Armor Crush,,,"Boss0"
67.61251251251254,Spinning Edge,,,"Boss0"
68.38086086086089,Kunai's Bane,,,"Boss0"
69.73263263263267,Gust Slash,,,"Boss0"
