#use_strict_skill_naming = False
#stats = {"job_class":"PCT","det_stat":2287,"crit_stat":3576,"dh_stat":2230,"tenacity":420,"speed_stat":420,"version":"7.4","level":100,"wd":158,"main_stat":6838,"healer_or_caster_strength":222}
time,skill_name,job_class,skill_conditional,targets,players_to_buff,overriding_skill_conditional_for_other_players
6,Technical Finish,DNC,Buff Only,,,
-4.1,Rainbow Drip,,,"Boss0",,
0.00011001100109986339,Grade 4 Gemdraught,,,,,
0.7001100110011,Pom Muse,,,"Boss0",,
1.4001100110011002,Striking Muse,,,,,
2.1001100110011004,Wing Motif,,,,,
5.4002200220022,Starry Muse,,,,,
6.100220022002199,Star Prism,,,"Boss0",,
6.8002200220022,Subtractive Palette,,,,,
7.970307030703072,Blizzard in Cyan,,,"Boss0",,
10.440354035403544,Stone in Yellow,,,"Boss0",,
12.910401040104013,Thunder in Magenta,,,"Boss0",,
15.380448044804485,Comet in Black,,,"Boss0",,
16.080448044804484,Winged Muse,,,"Boss0",,
17.850495049504953,Rainbow Drip,,,"Boss0",,
18.550495049504953,Mog of the Ages,,,"Boss0",,
20.350545054505453,Hammer Stamp,,,"Boss0",,
22.850595059505952,Hammer Brush,,,"Boss0",,
25.350645064506452,Polishing Hammer,,,"Boss0",,
26.05064506450645,Swiftcast,,,,,
27.850695069506955,Claw Motif,,,,,
28.550695069506958,Clawed Muse,,,"Boss0",,
31.85079507950796,Fire in Red,,,"Boss0",,
34.35084508450846,Aero in Green,,,"Boss0",,
36.85089508950895,Water in Blue,,,"Boss0",,
39.35094509450945,Fire in Red,,,"Boss0",,
41.850995099509944,Aero in Green,,,"Boss0",,
44.35104510451045,Water in Blue,,,"Boss0",,
45.951105110511044,Subtractive Palette,,,,,
46.85109510951094,Blizzard in Cyan,,,"Boss0",,
50.15112511251124,Hammer Motif,,,,,
53.25123512351234,Striking Muse,,,,,
54.15122512251224,Hammer Stamp,,,"Boss0",,
56.65127512751274,Hammer Brush,,,"Boss0",,
59.151325132513236,Polishing Hammer,,,"Boss0",,
61.65137513751374,Maw Motif,,,,,
65.65147514751474,Comet in Black,,,"Boss0",,
68.95150515051505,Hammer Motif,,,,,
72.95160516051604,Starry Sky Motif,,,,,
76.05171517151715,Fanged Muse,,,"Boss0",,
76.95170517051704,Pom Motif,,,,,
80.95180518051806,Blizzard in Cyan,,,"Boss0",,
84.25183518351838,Stone in Yellow,,,"Boss0",,
87.5518651865187,Water in Blue,,,"Boss0",,
90.0519151915192,Fire in Red,,,"Boss0",,
92.5519651965197,Aero in Green,,,"Boss0",,
95.0520152015202,Water in Blue,,,"Boss0",,
97.5520652065207,Fire in Red,,,"Boss0",,
100.0521152115212,Aero in Green,,,"Boss0",,
